TID,property_type,building_size,open_date,listing_agency,price,city,zip_code,phone,product_depth,bedroom_count,bathroom_count,parking_count
1351040,Unit,,Under offer,Territory Real Estate - Darwin,"Offers Over $499,000 Considered",Darwin City,800,889855678,feature,1,1,1
1351041,Apartment,,,Professionals - DARWIN CITY,"$400,000",Darwin City,800,08 8941 8289,premiere,2,2,1
1351042,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers Over $800,000",Darwin City,800,08 8942 8942,premiere,3,2,2
1351043,Unit,93m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,premiere,1,1,1
1351044,Apartment,53m²,,Renee's Realty NT - DURACK,"$299,000",Darwin City,800,0417 718 149,premiere,1,1,1
1351045,Unit,,,Property Now - MOOLOOLABA,"$580,000",Darwin City,800,1300 815 051 ,standard,1,1,1
1351046,Apartment,138m²,,Raine & Horne - Darwin,"Offers Over $375,000",Darwin City,800,08 8941 8941,premiere,2,2,2
1351047,Apartment,,,North Property NT - STUART PARK,"$489,000",Darwin City,800,08 898 11088 ,feature,2,2,1
1351048,Unit,,,Elders Real Estate - Darwin,"OFFERS OVER $195,000",Darwin City,800,08 8946 0500,premiere,1,1,1
1351049,Apartment,,,LJ Hooker Darwin -   ,"$505,000",Darwin City,800,08 8924 0900,premiere,2,2,2
1351050,Apartment,,,Ausway Group,"$325,000",Darwin City,800,451125286,feature,2,2,2
1351051,Apartment,,,No Agent Property - BRIGHTON EAST,"$539,000 negotiable",Darwin City,800,1300 850 855,standard,2,2,1
1351052,Apartment,,,Piening Property Sales - COOLALINGA,"$180,000",Darwin City,800,429826650,feature,1,1,0
1351053,Apartment,198m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,premiere,3,2,2
1351054,Unit,33m²,,Property Now - MOOLOOLABA,"$145,000",Darwin City,800,1300 815 051 ,standard,1,1,0
1351055,Apartment,,,Ausway Group,"$215,000",Darwin City,800,451125286,feature,1,1,1
1351056,Apartment,,,@realty - National Head Office Australia,"$450,000",Darwin City,800,1300 299 377,standard,2,2,1
1351057,Apartment,255m²,,David Booth Real Estate Pty Ltd - Darwin,"$865,000",Darwin City,800,0418 892 861,standard,3,2,2
1351058,Apartment,,,Elders Real Estate - Darwin,"$400,000",Darwin City,800,08 8946 0500,premiere,2,2,1
1351059,Unit,,,LJ Hooker Darwin -   ,"$369,000",Darwin City,800,08 8924 0900,premiere,2,2,2
1351060,Apartment,66m²,,Knight Frank (NT) - Darwin,"$350,000",Darwin City,800,08 8982 2500,feature,1,1,1
1351061,Unit,,,Real Estate Central - DARWIN CITY,"$549,000",Darwin City,800,08 8943 3000,premiere,3,2,2
1351062,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers over $539,000",Darwin City,800,08 8942 8942,standard,2,2,1
1351063,Apartment,83m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,premiere,1,1,0
1351064,Apartment,110m²,Under offer,Elders Real Estate - Darwin,"$490,000",Darwin City,800,08 8946 0500,premiere,2,2,1
1351065,Apartment,,,Ausway Group,"$209,000  Negoticate",Darwin City,800,451125286,feature,1,1,1
1351066,Apartment,,,Ray White Bayside - FANNIE BAY,"$420,000",Darwin City,800,08 8986 7131,premiere,2,2,2
1351067,Unit,150m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,standard,2,2,2
1351068,Unit,,Under offer,Real Estate Central Projects - DARWIN,"$510,000",Darwin City,800,08 8943 3066,standard,3,2,2
1351069,Unit,,Under offer,Real Estate Central Projects - Darwin,UNDER CONTRACT,Darwin City,800,08 8943 3000,premiere,3,2,2
1351070,Unit,,,Go Wise - WOOLNER,"$535,000",Darwin City,800,08 8942 1200,premiere,2,2,2
1351071,Unit,,,North Property NT - STUART PARK,"$335,000",Darwin City,800,08 898 11088 ,feature,1,1,1
1351072,Apartment,153m²,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Darwin City,800,08 8943 3000,premiere,2,2,1
1351073,Apartment,,,Professionals - DARWIN CITY,"Penthouse for $850,000",Darwin City,800,08 8941 8289,feature,4,2,2
1351074,Apartment,,,Professionals - DARWIN CITY,"Needs to GO! $510,000",Darwin City,800,08 8941 8289,feature,3,2,2
1351075,Unit,,,Elders Real Estate - Darwin,"$1,300,000",Darwin City,800,08 8946 0500,premiere,3,2,2
1351076,Unit,80m²,,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $580,000",Darwin City,800,411724000,premiere,2,2,2
1351077,Apartment,,,Professionals - DARWIN CITY,"$470,000",Darwin City,800,08 8941 8289,feature,3,2,1
1351078,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers over $539,000",Darwin City,800,08 8942 8942,feature,2,2,1
1351079,Unit,,,LJ Hooker Darwin -   ,"$519,000",Darwin City,800,08 8924 0900,premiere,2,2,2
1351080,Unit,,,LJ Hooker Darwin -   ,"$219,000",Darwin City,800,08 8924 0900,premiere,1,1,1
1351081,Apartment,,,Ausway Group,"$235,000 negotiable",Darwin City,800,451125286,feature,1,1,1
1351082,Apartment,,,Real Estate NT by George Pikos - FANNIE BAY,"$315,000",Darwin City,800,08 8941 9959,feature,1,1,1
1351083,Unit,,,Alliance Realty - Larrakeyah,"Offers over $450,000",Darwin City,800,08 8982 8282,feature,3,2,2
1351084,Apartment,200m²,,For Sale By Owner                                                                                   ,Negotiable,Darwin City,800,1300 114 970,standard,3,2,2
1351085,Apartment,,Under offer,Cate Killiner Real Estate - Woolner,"$380,000",Darwin City,800,08 8942 2283,standard,2,2,0
1351086,Apartment,,,Real Estate NT by George Pikos - FANNIE BAY,"$275,000",Darwin City,800,08 8941 9959,feature,2,1,1
1351087,Apartment,,,Elders Real Estate - Darwin,"PRICE GUIDE $1,070,000",Darwin City,800,08 8946 0500,feature,4,2,2
1351088,Unit,,,Territory Real Estate - Darwin,"$270,000",Darwin City,800,889855678,feature,1,1,1
1351089,Apartment,172.06m²,,Exact PTY LTD,"$1,100,000",Darwin City,800,889418366,standard,3,2,2
1351090,Unit,,,Elders Real Estate - Darwin,CONTACT AGENT,Darwin City,800,08 8946 0500,feature,3,2,0
1351091,House,,,Elders Real Estate - Darwin,"Price Guide $550,000",Darwin City,800,08 8946 0500,feature,3,2,1
1351092,Apartment,,,Real Estate Central - DARWIN CITY,Contact Agent,Darwin City,800,08 8943 3000,feature,2,2,2
1351093,Unit,,,Habitat Real Estate - THE GARDENS,"$380,000",Darwin City,800,08 8981 0080,feature,1,1,1
1351094,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers over $868,000",Darwin City,800,08 8942 8942,standard,3,2,2
1351095,Apartment,,Under offer,First National Real Estate O'Donoghues - Darwin,UNDER CONTRACT,Darwin City,800,08 8942 8942,feature,2,2,0
1351096,Apartment,,,Real Estate Central - DARWIN CITY,"$539,000",Darwin City,800,08 8943 3000,feature,2,2,1
1351097,Apartment,,,Real Estate Central - DARWIN CITY,"From $165,000",Darwin City,800,08 8943 3000,feature,1,1,1
1351098,Studio,52m²,Under offer,Raine & Horne - Darwin,"Offers Over: $130,000",Darwin City,800,08 8941 8941,premiere,1,1,1
1351099,Apartment,,,For Sale By Owner                                                                                   ,"$589,000",Darwin City,800,1300 114 970,standard,3,2,2
1351100,Apartment,18m²,,Professionals - DARWIN CITY,"Offers over $360,000",Darwin City,800,08 8941 8289,standard,2,2,2
1351101,Apartment,,,Professionals - DARWIN CITY,"Offers over $430,000",Darwin City,800,08 8941 8289,standard,3,2,2
1351102,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers over $839,000",Darwin City,800,08 8942 8942,standard,3,2,2
1351103,Unit,33m²,,Property Shop - Darwin,$147 000,Darwin City,800,08 8981 5000,feature,1,1,0
1351104,Unit,,,Complete Real Estate (NT),"$270,000",Darwin City,800,08 8983 1266,feature,2,1,1
1351105,Unit,231m²,,Elders Real Estate - Darwin,"PRICE GUIDE $795,000",Darwin City,800,08 8946 0500,feature,3,2,2
1351106,Unit,,,Real Estate Central - DARWIN CITY,"Offers Over $430,000",Darwin City,800,08 8943 3000,feature,2,2,1
1351107,Apartment,213m²,,Professionals - DARWIN CITY,Open to offers!,Darwin City,800,08 8941 8289,feature,3,3,3
1351108,Unit,,,Core Realty NT - RAPID CREEK,"$555,000 Furnished Pool ,Gym LEASED: $640 per week",Darwin City,800,0450 473 710,feature,2,2,2
1351109,Unit,183m²,,Elders Real Estate - Darwin,CONTACT AGENT,Darwin City,800,08 8946 0500,feature,2,2,2
1351110,Apartment,,,Pacific Property Darwin,"Offers over $529,000",Darwin City,800,433038633,feature,2,2,1
1351111,Apartment,,,Knight Frank (NT) - Darwin,"$460,000",Darwin City,800,08 8982 2500,feature,1,1,1
1351112,Unit,,,Real Estate Central - DARWIN CITY,"$195,000",Darwin City,800,08 8943 3000,feature,1,1,1
1351113,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers above $479,000",Darwin City,800,08 8942 8942,feature,3,2,2
1351114,Unit,,,Real Estate Central - DARWIN CITY,"$295,000",Darwin City,800,08 8943 3000,feature,2,1,1
1351115,Apartment,,,Knight Frank (NT) - Darwin,"$370,000 ono",Darwin City,800,08 8982 2500,feature,1,1,1
1351116,Unit,,,Habitat Real Estate - THE GARDENS,"Motivated Seller- Offers over $475,000",Darwin City,800,08 8981 0080,feature,2,2,1
1351117,Unit,,,Habitat Real Estate - THE GARDENS,"Offers over $520,000",Darwin City,800,08 8981 0080,feature,3,2,2
1351118,Apartment,,,Real Estate Central - DARWIN CITY,"$449,000",Darwin City,800,08 8943 3000,feature,2,2,0
1351119,Apartment,,,LJ Hooker Darwin -   ,"$525,000",Darwin City,800,08 8924 0900,feature,2,2,2
1351120,Apartment,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,Darwin City,800,08 8943 3000,feature,1,1,1
1351121,Apartment,,,Real Estate Central - DARWIN CITY,"Offers over $500,000",Darwin City,800,08 8943 3000,premiere,3,2,1
1351122,Unit,,,Raine & Horne - Darwin,UNDER CONTRACT,Darwin City,800,08 8941 8941,feature,3,2,2
1351123,Apartment,186m²,Under offer,@realty - National Head Office Australia,"New Price $595,000",Darwin City,800,1300 299 377,standard,2,2,2
1351124,Apartment,,,Knight Frank (NT) - Darwin,"Offers Over $190,000",Darwin City,800,08 8982 2500,feature,1,1,1
1351125,Apartment,111m²,Under offer,iProperty NT - Darwin,Under iContract,Darwin City,800,0404 877 261,feature,2,2,2
1351126,Apartment,,,First National Real Estate O'Donoghues - Darwin,Negotiable Above 1.5M,Darwin City,800,08 8942 8942,feature,4,2,2
1351127,Unit,,Under offer,@realty - National Head Office Australia,"$235,000+",Darwin City,800,1300 299 377,standard,1,1,1
1351128,Apartment,,Under offer,PRD Darwin - DARWIN City,"$389,000.00",Darwin City,800,421073034,standard,2,2,2
1351129,Apartment,99m²,,LJ Hooker Darwin -   ,"$370,000",Darwin City,800,08 8924 0900,feature,2,2,0
1351130,Apartment,415m²,,Chin Property Group,"$1,950,000",Darwin City,800,08 8981 8980,feature,5,3,2
1351131,Apartment,,,LJ Hooker Darwin -   ,"$175,000",Darwin City,800,08 8924 0900,feature,1,1,1
1351132,Apartment,81m²,,Knight Frank (NT) - Darwin,"$520,000 O.N.O",Darwin City,800,08 8982 2500,feature,1,1,1
1351133,Unit,,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$329,000",Darwin City,800,08 8945 9372,feature,2,2,1
1351134,Apartment,,,First National Real Estate O'Donoghues - Darwin,"Offers above $559,000",Darwin City,800,08 8942 8942,feature,3,2,2
1351135,Apartment,,,First National Real Estate O'Donoghues - Darwin,Expressions of Interest,Darwin City,800,08 8942 8942,feature,1,1,0
1351136,Apartment,,,PRD Darwin - DARWIN City,"$279,000",Darwin City,800,421073034,standard,1,1,0
1351137,Unit,,,Real Estate Central - DARWIN CITY,"From $500,000",Darwin City,800,08 8943 3000,feature,2,2,0
1351138,Apartment,,,For Sale By Owner                                                                                   ,"$280,000",Darwin City,800,1300 114 970,standard,2,1,1
1351139,Apartment,,,Chin Property Group,"$1,250,000",Darwin City,800,08 8981 8980,feature,3,2,2
1351140,Apartment,,,David Booth Real Estate Pty Ltd - Darwin,"$800,000",Darwin City,800,0418 892 861,standard,3,2,2
1351141,Unit,92m²,,No Agent Property - BRIGHTON EAST,"$280,000 to$300,000",Darwin City,800,1300 850 855,standard,2,1,1
1351142,Apartment,,,First National Real Estate O'Donoghues - Darwin,"$449,000",Darwin City,800,08 8942 8942,feature,3,2,1
1351143,Apartment,,,Professionals - DARWIN CITY,"Invest Now $455,000",Darwin City,800,08 8941 8289,standard,2,2,2
1351144,Apartment,,,Knight Frank (NT) - Darwin,"$450,000 ONO",Darwin City,800,08 8982 2500,feature,2,2,1
1351145,Unit,158m²,,@realty - National Head Office Australia,"$685,000",Darwin City,800,1300 299 377,standard,2,2,2
1351146,Unit,,,Alliance Realty - Larrakeyah,"$289,000",Darwin City,800,08 8982 8282,feature,2,2,1
1351147,Apartment,,,Property Now - MOOLOOLABA,"$429,000",Darwin City,800,1300 815 051 ,standard,2,2,2
1351148,Apartment,172m²,,Get Realty - PALMERSTON CITY,"$559,000",Darwin City,800,416175735,standard,2,2,1
1351149,Studio,55m²,,PRD Darwin - DARWIN City,"$210,000",Darwin City,800,421073034,standard,0,1,1
1351150,Unit,54m²,,Raine & Horne - Darwin,"$200,000-$250,000",Darwin City,800,08 8941 8941,feature,1,1,1
1351151,Apartment,"6,200m²",,No Agent Property - BRIGHTON EAST,"Offers over $300,000",Darwin City,800,1300 850 855,standard,1,1,0
1351152,Apartment,,,Alliance Realty - Larrakeyah,"$450,000",Darwin City,800,08 8982 8282,feature,2,2,2
1351153,Apartment,76m²,,Knight Frank (NT) - Darwin,"Offers over $300,000",Darwin City,800,08 8982 2500,feature,1,1,0
1351154,Unit,98m²,,Property Now - MOOLOOLABA,"$499,000",Darwin City,800,1300 815 051 ,standard,2,2,1
1351155,Apartment,,,First National Real Estate O'Donoghues - Darwin,P.O.A.,Darwin City,800,08 8942 8942,feature,4,3,2
1351156,Unit,,,Real Estate Central - DARWIN CITY,"$480,000",Darwin City,800,08 8943 3000,standard,3,2,2
1351157,Unit,78m²,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$325,000",Darwin City,800,08 8945 9372,feature,2,2,2
1351158,Unit,192m²,,Property Shop - Darwin,Awaiting Price Guide,Darwin City,800,08 8981 5000,standard,3,2,2
1351159,Unit,,,No Agent Property - BRIGHTON EAST,"$440,000",Darwin City,800,1300 850 855,standard,1,1,1
1351160,Unit,,,Elders Real Estate - Darwin,FASTRAK,Darwin City,800,08 8946 0500,feature,2,2,2
1351161,Unit,,,All About Real Estate NT - DARWIN CITY,"$310,000",Darwin City,800,0438 404 848,standard,2,1,0
1351162,Unit,48m²,,For Sale By Owner                                                                                   ,"$200,000 - $220,000",Darwin City,800,1300 114 970,standard,1,1,1
1351163,Unit,,,Sale By Home Owner - Australia,"offers over $399,000",Darwin City,800,1300 609 392,standard,1,1,2
1351164,Unit,,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$430,000",Darwin City,800,08 8945 9372,feature,1,1,1
1351165,Unit,12m²,,Real Value Properties NT - Northern Territory,"$99,950",Darwin City,800,08 8983 1888,standard,0,1,1
1351166,Apartment,259m²,,Property Now - MOOLOOLABA,"$900,000 negotiable",Darwin City,800,1300 815 051 ,standard,3,2,2
1351167,Apartment,248m²,Under offer,Knight Frank (NT) - Darwin,"Price reduction! $895,000!",Darwin City,800,08 8982 2500,standard,3,2,2
1351168,Apartment,168m²,,David Booth Real Estate Pty Ltd - Darwin,"$990,000",Darwin City,800,0418 892 861,standard,3,2,2
1351169,Unit,114m²,,Elders Real Estate - Darwin,"OFFERS OVER $610,000",Darwin City,800,08 8946 0500,standard,2,2,2
1351170,Unit,235m²,,Knight Frank (NT) - Darwin,"$1,199,000",Darwin City,800,08 8982 2500,standard,3,2,2
1351171,Apartment,213.68m²,,David Booth Real Estate Pty Ltd - Darwin,"$1,100,000",Darwin City,800,0418 892 861,standard,3,2,2
1351172,House,,Added 1 hour ago,All About Real Estate NT - DARWIN CITY,"Offers Over $665,000 Considered",Leanyer,812,0438 404 848,premiere,4,2,5
1351173,Residential Land,,Added 1 hour ago,Real Estate Central - DARWIN CITY,"$490,000",Stuart Park,820,08 8943 3000,premiere,,,
1351174,House,,Added 1 hour ago,Real Estate Central Projects - Darwin,Openn Negotiation,Lyons,810,08 8943 3000,premiere,5,2,3
1351175,House,,Added 1 hour ago,Elders Real Estate - Palmerston,"PRICE GUIDE $575,000",Durack,830,08 8931 5000,premiere,3,2,2
1351176,House,,Added 2 hours ago,Real Estate Central Projects - Darwin,Bidding from 700k,The Narrows,820,08 8943 3000,premiere,5,2,4
1351177,House,,Added 2 hours ago,Professionals - DARWIN CITY,"$435,000",Darwin City,800,08 8941 8289,premiere,2,1,1
1351178,House,,Added 4 hours ago,Real Estate Central Projects - Darwin,"Bidding from $550,000",Herbert,836,08 8943 3000,premiere,3,2,6
1351179,House,,Added 5 hours ago,First National Real Estate O'Donoghues - Darwin,AUCTION,Nightcliff,810,08 8942 8942,premiere,4,4,2
1351180,Block Of Units,,Added 6 hours ago,Habitat Real Estate - THE GARDENS,"Offers over $1,200,000",Rapid Creek,810,08 8981 0080,premiere,8,4,4
1351181,House,,Added 7 hours ago,Freedom Property - Australia,FOR SALE,Woodroffe,830,07 3999 8324,premiere,3,1,1
1351182,House,,Added 7 hours ago,For Sale By Owner                                                                                   ,"$475,000",Driver,830,1300 114 970,standard,3,1,3
1351183,Apartment,171m²,Added 7 hours ago,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $320,000",Darwin City,800,411724000,premiere,3,2,2
1351184,Townhouse,,Added 9 hours ago,HERON PROPERTY - DARWIN,"Offers over $365,000",Stuart Park,820,08 8992 9980,premiere,2,1,1
1351185,Unit,,Added 22 hours ago,Habitat Real Estate - THE GARDENS,"$310,000",Darwin City,800,08 8981 0080,premiere,2,1,1
1351186,House,400m²,Added 22 hours ago,Real Value Properties NT - Northern Territory,"OFFERS OVER $700,000",Humpty Doo,836,08 8983 1888,premiere,5,2,10
1351187,House,173.11m²,Added 23 hours ago,Wealthmax Real Estate - MILLNER,Offers Over: 565000,Durack,830,889481153,premiere,3,2,2
1351188,House,,Added yesterday,Knight Frank (NT) - Darwin,"$419,000",Driver,830,08 8982 2500,premiere,3,1,3
1351189,Residential Land,,Added yesterday,Real Estate Central - DARWIN CITY,"$370,000",Fannie Bay,820,08 8943 3000,premiere,,,
1351190,House,,Added yesterday,Real Estate Central - DARWIN CITY,Openn Negotiation,Muirhead,810,08 8943 3000,premiere,4,2,2
1351191,House,287m²,Added yesterday,Real Estate Central Projects - Darwin,Openn Negotiation,Bellamack,832,08 8943 3000,premiere,4,2,4
1351192,Unit,98m²,Added yesterday,Eview Group - Corporate,"OFFERS OVER $330,000",Wanguri,810,03 8781 3888,standard,2,2,2
1351193,House,,Added yesterday,Call2View Real Estate - Palmerston,"$560,000",Bakewell,832,08 8932 8858,premiere,3,2,2
1351194,House,,Added yesterday,Real Estate Central - DARWIN CITY,Openn Negotiation,Lyons,810,08 8943 3000,premiere,4,3,4
1351195,House,,Added yesterday,Absolute Real Estate NT - Darwin,"$460,000 +",Karama,812,08 8930 6600,premiere,2,1,3
1351196,Unit,,Added yesterday,Elders Real Estate - Palmerston,"PRICE GUIDE $290,000",Bakewell,832,08 8931 5000,premiere,2,1,2
1351197,House,,Added yesterday,Call2View Real Estate - Palmerston,"$420,000",Humpty Doo,836,08 8932 8858,premiere,2,1,2
1351198,Unit,,Added yesterday,Real Estate Central - DARWIN CITY,Openn Negotiation,Coconut Grove,810,08 8943 3000,premiere,2,1,1
1351199,House,,Added yesterday,Elders Real Estate - Darwin,"PRICE GUIDE $570,000",Jingili,810,08 8946 0500,premiere,4,2,2
1351200,House,,Added yesterday,Ray White - NIGHTCLIFF,"$259,000",Darwin City,800,08 8982 2403,premiere,1,1,0
1351201,House,,Added yesterday,Kalo Real Estate - Darwin,"$569,000",Gunn,832,889453340,premiere,4,2,2
1351202,Unit,201m²,Added yesterday,Carol Need Real Estate - Fannie Bay,"$439,000",Darwin City,800,418885966,premiere,3,2,2
1351203,Townhouse,,Added yesterday,Renee's Realty NT - DURACK,Contact Agent,Moulden,830,0417 718 149,premiere,3,1,3
1351204,House,241m²,Added 2 days ago,Core Realty NT - RAPID CREEK,"$739,000",Durack,830,0450 473 710,premiere,4,2,2
1351205,House,,Added 2 days ago,Real Estate Central - DARWIN CITY,"Offers Over $399,000",Woodroffe,830,08 8943 3000,premiere,4,1,2
1351206,House,,Added 2 days ago,Real Estate Central - DARWIN CITY,Auction,Rapid Creek,810,08 8943 3000,premiere,3,2,3
1351207,House,,Added 2 days ago,Call2View Real Estate - Palmerston,"$599,000",Leanyer,812,08 8932 8858,premiere,3,1,2
1351208,House,,Added 2 days ago,Elders Real Estate - Darwin,FASTRAK,Leanyer,812,08 8946 0500,premiere,4,3,2
